sale_date,vehicle_model,is_festival,units_sold
6/15/2022,0,0,45
6/16/2022,0,0,32
6/17/2022,0,0,47
6/18/2022,0,0,56
6/19/2022,0,0,74
6/20/2022,0,0,30
6/21/2022,0,0,54
6/22/2022,0,1,101
6/23/2022,0,0,75
6/24/2022,0,0,59
6/25/2022,0,0,48
6/26/2022,0,1,115
6/27/2022,0,0,85
6/28/2022,0,0,56
6/29/2022,0,0,51
6/30/2022,0,0,81
7/1/2022,0,0,72
7/2/2022,0,0,32
7/3/2022,0,0,68
7/4/2022,0,0,77
7/5/2022,0,0,60
7/6/2022,0,1,103
7/7/2022,0,1,109
7/8/2022,0,1,111
7/9/2022,0,0,55
7/10/2022,0,1,91
7/11/2022,0,0,56
7/12/2022,0,0,52
7/13/2022,0,0,64
7/14/2022,0,0,37
7/15/2022,0,0,40
7/16/2022,0,0,41
7/17/2022,0,0,68
7/18/2022,0,0,78
7/19/2022,0,0,71
7/20/2022,0,0,78
7/21/2022,0,0,37
7/22/2022,0,0,58
7/23/2022,0,0,44
7/24/2022,0,1,119
7/25/2022,0,1,113
7/26/2022,0,0,32
7/27/2022,0,0,69
7/28/2022,0,0,51
7/29/2022,0,0,85
7/30/2022,0,0,66
7/31/2022,0,0,35
8/1/2022,0,0,
8/2/2022,0,0,
8/3/2022,0,0,
8/4/2022,0,1,
8/5/2022,0,1,
8/6/2022,0,0,
8/7/2022,0,0,
8/8/2022,0,0,
8/9/2022,0,0,
8/10/2022,0,0,
8/11/2022,0,0,
8/12/2022,0,0,
8/13/2022,0,1,
8/14/2022,0,0,
8/15/2022,0,0,
6/15/2022,1,0,64
6/16/2022,1,0,94
6/17/2022,1,0,120
6/18/2022,1,0,68
6/19/2022,1,0,120
6/20/2022,1,0,89
6/21/2022,1,0,97
6/22/2022,1,1,121
6/23/2022,1,0,82
6/24/2022,1,0,119
6/25/2022,1,0,109
6/26/2022,1,1,119
6/27/2022,1,0,52
6/28/2022,1,0,107
6/29/2022,1,0,57
6/30/2022,1,0,119
7/1/2022,1,0,119
7/2/2022,1,0,95
7/3/2022,1,0,67
7/4/2022,1,0,115
7/5/2022,1,0,107
7/6/2022,1,1,136
7/7/2022,1,1,117
7/8/2022,1,1,145
7/9/2022,1,0,57
7/10/2022,1,1,110
7/11/2022,1,0,98
7/12/2022,1,0,118
7/13/2022,1,0,63
7/14/2022,1,0,93
7/15/2022,1,0,83
7/16/2022,1,0,99
7/17/2022,1,0,72
7/18/2022,1,0,67
7/19/2022,1,0,77
7/20/2022,1,0,75
7/21/2022,1,0,75
7/22/2022,1,0,83
7/23/2022,1,0,56
7/24/2022,1,1,101
7/25/2022,1,1,140
7/26/2022,1,0,109
7/27/2022,1,0,67
7/28/2022,1,0,100
7/29/2022,1,0,67
7/30/2022,1,0,117
7/31/2022,1,0,93
8/1/2022,1,0,
8/2/2022,1,0,
8/3/2022,1,0,
8/4/2022,1,1,
8/5/2022,1,1,
8/6/2022,1,0,
8/7/2022,1,0,
8/8/2022,1,0,
8/9/2022,1,0,
8/10/2022,1,0,
8/11/2022,1,0,
8/12/2022,1,0,
8/13/2022,1,1,
8/14/2022,1,0,
8/15/2022,1,0,
6/15/2022,2,0,141
6/16/2022,2,0,158
6/17/2022,2,0,142
6/18/2022,2,0,108
6/19/2022,2,0,140
6/20/2022,2,0,138
6/21/2022,2,0,175
6/22/2022,2,1,215
6/23/2022,2,0,135
6/24/2022,2,0,160
6/25/2022,2,0,140
6/26/2022,2,1,158
6/27/2022,2,0,169
6/28/2022,2,0,174
6/29/2022,2,0,107
6/30/2022,2,0,121
7/1/2022,2,0,155
7/2/2022,2,0,173
7/3/2022,2,0,101
7/4/2022,2,0,167
7/5/2022,2,0,115
7/6/2022,2,1,242
7/7/2022,2,1,204
7/8/2022,2,1,182
7/9/2022,2,0,164
7/10/2022,2,1,208
7/11/2022,2,0,141
7/12/2022,2,0,135
7/13/2022,2,0,131
7/14/2022,2,0,136
7/15/2022,2,0,100
7/16/2022,2,0,163
7/17/2022,2,0,162
7/18/2022,2,0,149
7/19/2022,2,0,164
7/20/2022,2,0,119
7/21/2022,2,0,122
7/22/2022,2,0,129
7/23/2022,2,0,141
7/24/2022,2,1,214
7/25/2022,2,1,226
7/26/2022,2,0,148
7/27/2022,2,0,162
7/28/2022,2,0,169
7/29/2022,2,0,130
7/30/2022,2,0,140
7/31/2022,2,0,167
8/1/2022,2,0,
8/2/2022,2,0,
8/3/2022,2,0,
8/4/2022,2,1,
8/5/2022,2,1,
8/6/2022,2,0,
8/7/2022,2,0,
8/8/2022,2,0,
8/9/2022,2,0,
8/10/2022,2,0,
8/11/2022,2,0,
8/12/2022,2,0,
8/13/2022,2,1,
8/14/2022,2,0,
8/15/2022,2,0,
